Routeid,Stop,Latitude,Longitude
20041,1,-87.52111111,30.28083333
20041,2,-87.53388889,30.27805556
20041,3,-87.53944444,30.27777778
20041,4,-87.57138889,30.27305556
20041,5,-87.58694444,30.26944444
20041,6,-87.605,30.26555556
20041,7,-87.62166667,30.26083333
20041,8,-87.63666667,30.25694444
20041,9,-87.63722222,30.25305556
20041,10,-87.66888889,30.25444444
20140,1,-88.112569,30.25736
20066,1,-87.065032,31.228302
20211,1,-86.572478,32.491267
20218,1,-87.637092,30.803937
20036,1,-87.20883,31.739783
20025,1,-86.717308,32.658657
20044,1,-86.696548,33.590943
20043,1,-87.100752,33.115604
20070,1,-87.8722,30.23826
20070,2,-87.85405,30.23965
20070,3,-87.83767,30.24537
20070,4,-87.8212,30.24211
20070,5,-87.80692,30.25169
20070,6,-87.78758,30.24454
20070,7,-87.77116,30.2479
20070,8,-87.7555,30.25188
20070,9,-87.7546,30.26646
20070,10,-87.75115,30.28106
29250,1,-87.735318,30.303359
20062,1,-85.468063,33.928295
20033,1,-86.257072,31.582255
20105,1,-86.47333333,34.21277778
20105,2,-86.47277778,34.19861111
20105,3,-86.485,34.18972222
20105,4,-86.48555556,34.15972222
20105,5,-86.47611111,34.16333333
20105,6,-86.47305556,34.13611111
20105,7,-86.48111111,34.1225
20105,8,-86.48777778,34.10777778
20105,9,-86.48833333,34.01222222
20105,10,-86.4975,34.09888889
20032,1,-85.815527,31.71797
20065,1,-85.871207,32.434615
20059,1,-88.012448,33.280781
20203,1,-86.695121,34.962273
20038,1,-87.120728,31.318974
20056,1,-86.257462,33.457291
20111,1,-85.746657,33.629635
20213,1,-88.204557,31.161634
20214,1,-87.636174,31.74596
20029,1,-85.062644,32.147307
20102,1,-87.254295,34.60316
20040,1,-88.112546,30.254032
20009,1,-85.926758,34.30395
20011,1,-85.751837,33.625723
20306,1,-87.137832,33.816897
20055,1,-85.650871,31.667603
20142,1,-87.67166667,30.25555556
20142,2,-87.59833333,30.38166667
20142,3,-87.59833333,30.39638889
20142,4,-87.59805556,30.41055556
20142,5,-87.59833333,30.42583333
20142,6,-87.59833333,30.44305556
20142,7,-87.59833333,30.45916667
20142,8,-87.59833333,30.47277778
20142,9,-87.57916667,30.47277778
20142,10,-87.56416667,30.47444444
29274,1,-87.602606,30.370387
20072,1,-86.988761,34.92923
20048,1,-88.122928,32.680782
20052,1,-88.385212,31.292744
20216,1,-85.256301,31.72984
20054,1,-86.099272,31.222355
20042,1,-87.683347,30.370113
20753,1,-87.722013,31.378515
20210,1,-87.436668,32.208758
20069,1,-88.352353,30.942277
20031,1,-85.233177,31.020344
20023,1,-87.515853,32.78475
20013,1,-86.115378,33.811697
20053,1,-87.776716,31.709758
20046,1,-86.477356,34.314238
20022,1,-87.216185,32.443377
20215,1,-86.18534,31.905264
20002,1,-87.19129,34.638674
20060,1,-87.424001,33.263816
20016,1,-87.589087,33.847827
20206,1,-87.137824,33.816874
20047,1,-87.82553,33.138176
20156,1,-86.331298,33.29053
20109,1,-85.932518,34.308398
20028,1,-85.204458,32.885464
20037,1,-87.832198,31.096976
20051,1,-85.715918,32.581316
20019,1,-88.17121,33.476553
20021,1,-87.835952,32.278239
20068,1,-85.411384,31.031942
20017,1,-87.004308,33.526195
20035,1,-86.88571,30.99753
29309,1,-86.88571,30.99753
29310,1,-86.88571,30.99753
29311,1,-86.88571,30.99753
29447,1,-86.88571,30.99753
20058,1,-85.565558,34.580485
20010,1,-85.925825,33.191204
20039,1,-88.314992,31.632635
20067,1,-86.261154,31.408887
20015,1,-86.871764,33.681957
20030,1,-85.588469,31.339062
20064,1,-86.1118,32.822414
20061,1,-86.449958,33.719963
20207,1,-86.38222222,33.85527778
20207,2,-86.38194444,33.86166667
20207,3,-86.39305556,33.87277778
20207,4,-86.40888889,33.89333333
20207,5,-86.42055556,33.86694444
20207,6,-86.42472222,33.87166667
20207,7,-86.44111111,33.86972222
20207,8,-86.44777778,33.89833333
20207,9,-86.45527778,33.00277778
20207,10,-86.46333333,33.89666667
20008,1,-85.711256,34.027819
20020,1,-88.31728,32.130771
